#`THIS IS THE RESULT OF DATAMINING AND HASN'T BEEN TESTED`

Condition; HAS_AP_ITEM_LAUNCH_CODES                     ; Launch Codes
Condition; HAS_AP_ITEM_SPACESUIT                        ; Spacesuit
Condition; HAS_AP_ITEM_TRANSLATOR                       ; Translator
Condition; HAS_AP_ITEM_SIGNALSCOPE                      ; Signaloscope
Condition; HAS_AP_ITEM_SCOUT                            ; Scout

Condition; HAS_AP_ITEM_GHOST_MATTER_WAVELENGTH          ; Ghost Matter Wavelength
Condition; HAS_AP_ITEM_NOMAI_WARP_CODES                 ; Nomai Warp Codes
Condition; HAS_AP_ITEM_WARP_CORE_INSTALLATION_MANUAL    ; Warp Core Installation Manual
Condition; HAS_AP_ITEM_TORNADO_AERODYNAMIC_ADJUSTMENTS  ; Tornado Aerodynamic Adjustments
Condition; HAS_AP_ITEM_SILENT_RUNNING_MODE              ; Silent Running Mode
Condition; HAS_AP_ITEM_ELECTRICAL_INSULATION            ; Electrical Insulation
Condition; HAS_AP_ITEM_COORDINATES                      ; Coordinates

Condition; HAS_AP_ITEM_IMAGING_RULE                     ; Imaging Rule
Condition; HAS_AP_ITEM_ENTANGLEMENT_RULE                ; Entanglement Rule
Condition; HAS_AP_ITEM_SHRINE_DOOR_CODES                ; Shrine Door Codes

Condition; HAS_AP_ITEM_DISTRESS_BEACON_FREQUENCY        ; Distress Beacon Frequency
Condition; HAS_AP_ITEM_QUANTUM_FLUCTUATIONS_FREQUENCY   ; Quantum Fluctuations Frequency
Condition; HAS_AP_ITEM_HIDE_AND_SEEK_FREQUENCY          ; Hide and Seek Frequency
Condition; HAS_AP_ITEM_FELDSPARS_SIGNAL                 ; Feldspars Signal
Condition; HAS_AP_ITEM_QUANTUM_MOON_SIGNAL              ; Quantum Moon Signal
Condition; HAS_AP_ITEM_ESCAPE_POD_3_SIGNAL              ; Escape Pod 3 Signal

Condition; HAS_AP_ITEM_DEEP_SPACE_RADIO_FREQUENCY       ; DLC   ; Deep Space Radio Frequency
Condition; HAS_AP_ITEM_CONTROL_SENSOR_WAVELENGTH        ; DLC   ; Control Sensor Wavelength
Condition; HAS_AP_ITEM_BREACH_OVERRIDE_CODES            ; DLC   ; Breach Override Codes
Condition; HAS_AP_ITEM_RIVER_LOWLANDS_PAINTING_CODE     ; DLC   ; Painting Code - River LowLands
Condition; HAS_AP_ITEM_CINDER_ISLES_PAINTING_CODE       ; DLC   ; Painting Code - Cinder Isles
Condition; HAS_AP_ITEM_HIDDEN_GORGE_PAINTING_CODE       ; DLC   ; Painting Code - Hidden Gorge
Condition; HAS_AP_ITEM_DREAM_TOTEM_PATCH                ; DLC   ; Patch - Dream Totem
Condition; HAS_AP_ITEM_RAFT_DOCKS_PATCH                 ; DLC   ; Patch - Raft Docks
Condition; HAS_AP_ITEM_RAFT_LIMBO_PATCH                 ; DLC   ; Patch - Raft Limbo
Condition; HAS_AP_ITEM_PROJECTION_RANGE_PATCH           ; DLC   ; Patch - Projection Range
Condition; HAS_AP_ITEM_ALARM_BYPASS_PATCH               ; DLC   ; Patch - Alarm Pypass
